"cim10id","parentid","code","name"
"28302","15215","W74.09"," "
"28303","16875","Y31.62"," "
"28304","16110","X62.48"," "
"28305","14569","W07.60"," "
"28306","15010","W50.69"," "
"28307","15887","X40.52"," "
"28308","14571","W07.81"," "
"28309","16316","X81.18"," "
"28310","13726","V21.52"," "
"28311","14303","V80.30"," "
"28312","16096","X61.12"," "
"28313","16062","X58.22"," "
"28314","16474","X95.41"," "
"28315","16653","Y11.44"," "
"28316","15432","W94.60"," "
"28317","13850","V35.40"," "
"28318","15563","X11.21"," "
"28319","14088","V59.00","Conductor de camioneta o furgoneta lesionado en colisión con vehículos motorizados no especificados en un accidente no de tráfico"
"28320","14084","V58.68"," "
"28321","16485","X96.40"," "
"28322","14586","W09.10"," "
"28323","16239","X74.12"," "
"28324","14975","W44.41"," "
"28325","13982","V48.59"," "
"28326","15675","X21.39"," "
"28327","14644","W14.48"," "
"28328","13867","V37.19"," "
"28329","14580","W08.69"," "
"28330","16630","Y09.48"," "
"28331","16897","Y33.60"," "
"28332","14980","W44.91"," "
"28333","15076","W56.52","Golpeado por otros peces"
"28334","16679","Y13.83"," "
"28335","15921","X43.52"," "
"28336","16246","X74.82"," "
"28337","16564","Y02.68"," "
"28338","14742","W23.22"," "
"28339","16382","X87.02"," "
"28340","16044","X54.64"," "
"28341","16255","X75.68"," "
"28342","15984","X49.29"," "
"28343","14501","W01.44"," "
"28344","16148","X65.93"," "
"28345","15824","X34.84"," "
"28346","18142","W46.61"," "
"28347","13712","V20.02"," "
"28348","14408","V90.64"," "
"28349","15874","X39.38"," "
"28350","16275","X77.49"," "
"28351","16029","X53.22"," "
"28352","14393","V88.82"," "
"28353","14489","W00.49"," "
"28354","14535","W04.54"," "
"28355","14525","W03.61"," "
"28356","15612","X15.71"," "
"28357","15379","W89.83"," "
"28358","15053","W54.43"," "
"28359","16690","Y14.82"," "
"28360","14032","V53.44"," "
"28361","15045","W53.78"," "
"28362","16595","Y05.48"," "
"28363","14823","W30.64"," "
"28364","13763","V26.23"," "
"28365","16806","Y25.38"," "
"28366","15885","X40.30"," "
"28367","16843","Y28.72"," "
"28368","14154","V65.59"," "
"28369","14692","W18.89"," "
"28370","15481","X02.93"," "
"28371","14280","V78.08"," "
"28372","13707","V19.50","Pasajero de vehículo a pedales lesionado en colisión con vehículos motorizados no especificados en accidente de tráfico"
"28373","14708","W20.28"," "
"28374","14283","V78.32"," "
"28375","16584","Y04.48"," "
"28376","13714","V20.28"," "
"28377","16434","X91.80"," "
"28378","14422","V91.89","Otro tipo de lesión por otro tipo de accidente con embarcación no especificada"
"28380","15725","X25.91"," "
"28381","13806","V31.00"," "
"28382","15021","W51.51"," "
"28383","14194","V69.52"," "
"28384","15847","X36.90"," "
"28385","14291","V79.11"," "
"28386","15709","X24.42"," "
"28387","15971","X48.02"," "
"28388","15849","X37.08"," "
"28389","14782","W26.90"," "
"28390","15475","X02.34"," "
"28392","14321","V81.91"," "
"28393","15585","X13.28"," "
"28394","13854","V35.92"," "
"28395","14754","W24.34"," "
"28396","15309","W83.54"," "
"28397","13751","V24.94"," "
"28398","13867","V37.11"," "
"28399","14889","W36.69"," "
"28400","15320","W84.58"," "
"28401","16228","X73.19"," "
"28402","13989","V49.20","Ocupante no especificado de coche lesionado en colisión con vehículos motorizados no especificados en un accidente no de tráfico"
"28403","16220","X72.44"," "
"28404","15108","W59.41"," "
"28405","14590","W09.50"," "
"28406","15113","W59.99"," "
"28407","16486","X96.51"," "
"28408","14585","W09.08"," "
"28409","14477","V97.82"," "
"28410","15406","W92.23"," "
"28411","15253","W77.43"," "
"28412","15198","W70.53"," "
"28414","16241","X74.34"," "
"28415","14703","W19.88"," "
"28416","14975","W44.42"," "
"28417","15808","X33.38"," "
"28418","14765","W25.33"," "
"28419","16508","X98.50"," "
"28420","16147","X65.81"," "
"28421","14140","V64.10"," "
"28422","14257","V75.74"," "
"28423","16658","Y11.94"," "
"28424","14019","V52.14"," "
"28425","16031","X53.43"," "
"28426","14267","V76.78"," "
"28427","15623","X16.78"," "
"28428","15890","X40.81"," "
"28429","15444","W99.78"," "
"28430","15627","X17.08"," "
"28431","13915","V41.90"," "
"28432","15040","W53.22"," "
"28433","15363","W88.32"," "
"28434","15918","X43.21"," "
"28435","14023","V52.59"," "
