"commonnamegroupid","name","galenicformid","name_noaccent","publicName"
"2","ácido salicílico * 0,1 % + triamcinolona acetónido * 0,02 % ; uso cutáneo ; loción","266","ACIDO SALICILICO * 0,1 % + TRIAMCINOLONA ACETONIDO * 0,02 % ; USO CUTANEO ; LOCION","ACIDO SALICILICO 0,1 % + TRIAMCINOLONA ACETONIDO 0,02 % loción"
"3","valproato sódico * 250 mg ; vía oral ; granulado de liberación prolongada en sobre","1829","VALPROATO SODICO * 250 MG ; VIA ORAL ; GRANULADO DE LIBERACION PROLONGADA EN SOBRE","VALPROATO SODICO 250 mg granulado de liberación prolongada en sobre"
"4","betametasona * 0,05 % ; vía oral ; gotas orales en solución","462","BETAMETASONA * 0,05 % ; VIA ORAL ; GOTAS ORALES EN SOLUCION","BETAMETASONA 0,05 % gotas orales en solución"
"5","atorvastatina (cálcica) * 40 mg ; vía oral ; comprimido","59","ATORVASTATINA (CALCICA) * 40 MG ; VIA ORAL ; COMPRIMIDO","ATORVASTATINA (cálcica) 40 mg comprimido"
"6","albúmina humana * 50 mg/ml ; vía parenteral ; solución para perfusión","531","ALBUMINA HUMANA * 50 MG/ML ; VIA PARENTERAL ; SOLUCION PARA PERFUSION","ALBUMINA HUMANA 50 mg/ml solución para perfusión"
"7","indapamida * 1,25 mg + perindopril tert-butilamina * 4 mg ; vía oral ; comprimido","59","INDAPAMIDA * 1,25 MG + PERINDOPRIL TERT-BUTILAMINA * 4 MG ; VIA ORAL ; COMPRIMIDO","INDAPAMIDA 1,25 mg + PERINDOPRIL TERT-BUTILAMINA 4 mg comprimido"
"8","fenticonazol nitrato * 600 mg ; vía vaginal ; cápsula vaginal blanda","35","FENTICONAZOL NITRATO * 600 MG ; VIA VAGINAL ; CAPSULA VAGINAL BLANDA","FENTICONAZOL NITRATO 600 mg cápsula vaginal blanda"
"9","fentanilo * 75 µg/h ; vía transdérmica ; sistema de liberación transdérmica","160","FENTANILO * 75 µG/H ; VIA TRANSDERMICA ; SISTEMA DE LIBERACION TRANSDERMICA","FENTANILO 75 µg/h sistema de liberación transdérmica"
"10","metoprolol tartrato * 50 mg ; vía oral ; comprimido","59","METOPROLOL TARTRATO * 50 MG ; VIA ORAL ; COMPRIMIDO","METOPROLOL TARTRATO 50 mg comprimido"
"11","lanreotida (acetato) * 120 mg ; vía parenteral ; solución inyectable liberación prolongada en jeringa precargada ","1996","LANREOTIDA (ACETATO) * 120 MG ; VIA PARENTERAL ; SOLUCION INYECTABLE LIBERACION PROLONGADA EN JERINGA PRECARGADA ","LANREOTIDA (acetato) 120 mg solución inyectable liberación prolongada en jeringa precargada "
"12","lercanidipino clorhidrato * 10 mg ; vía oral ; comprimido","59","LERCANIDIPINO CLORHIDRATO * 10 MG ; VIA ORAL ; COMPRIMIDO","LERCANIDIPINO CLORHIDRATO 10 mg comprimido"
"13","fenobarbital * 5,4 % ; vía oral ; gotas orales en solución","462","FENOBARBITAL * 5,4 % ; VIA ORAL ; GOTAS ORALES EN SOLUCION","FENOBARBITAL 5,4 % gotas orales en solución"
"14","miconazol nitrato * 100 mg ; vía vaginal ; cápsula vaginal blanda","35","MICONAZOL NITRATO * 100 MG ; VIA VAGINAL ; CAPSULA VAGINAL BLANDA","MICONAZOL NITRATO 100 mg cápsula vaginal blanda"
"15","metronidazol * 0,5 % ; vía parenteral ; solución para perfusión","531","METRONIDAZOL * 0,5 % ; VIA PARENTERAL ; SOLUCION PARA PERFUSION","METRONIDAZOL 0,5 % solución para perfusión"
"16","posaconazol * 40 mg/ml ; vía oral ; suspensión oral","560","POSACONAZOL * 40 MG/ML ; VIA ORAL ; SUSPENSION ORAL","POSACONAZOL 40 mg/ml suspensión oral"
"18","benzoilo peróxido * 5 % ; uso cutáneo ; gel","195","BENZOILO PEROXIDO * 5 % ; USO CUTANEO ; GEL","BENZOILO PEROXIDO 5 % gel"
"19","tobramicina * 0,3 % ; vía oftálmica ; pomada oftálmica","334","TOBRAMICINA * 0,3 % ; VIA OFTALMICA ; POMADA OFTALMICA","TOBRAMICINA 0,3 % pomada oftálmica"
"21","sibutramina clorhidrato * 15 mg ; vía oral ; cápsula dura","219","SIBUTRAMINA CLORHIDRATO * 15 MG ; VIA ORAL ; CAPSULA DURA","SIBUTRAMINA CLORHIDRATO 15 mg cápsula dura"
"22","deferasirox * 500 mg ; vía oral ; comprimido dispersable","79","DEFERASIROX * 500 MG ; VIA ORAL ; COMPRIMIDO DISPERSABLE","DEFERASIROX 500 mg comprimido dispersable"
"23","atenolol * 50 mg + nifedipino * 20 mg ; vía oral ; cápsula dura","219","ATENOLOL * 50 MG + NIFEDIPINO * 20 MG ; VIA ORAL ; CAPSULA DURA","ATENOLOL 50 mg + NIFEDIPINO 20 mg cápsula dura"
"24","altizida * 15 mg + espironolactona * 25 mg ; vía oral ; comprimido","59","ALTIZIDA * 15 MG + ESPIRONOLACTONA * 25 MG ; VIA ORAL ; COMPRIMIDO","ALTIZIDA 15 mg + ESPIRONOLACTONA 25 mg comprimido"
"25","latanoprost * 50 µg/ml + timolol (maleato) * 5 mg/ml ; vía oftálmica ; colirio en solución","53","LATANOPROST * 50 µG/ML + TIMOLOL (MALEATO) * 5 MG/ML ; VIA OFTALMICA ; COLIRIO EN SOLUCION","LATANOPROST 50 µg/ml + TIMOLOL (maleato) 5 mg/ml colirio en solución"
"26","estradiol valerato * 1 mg + medroxiprogesterona acetato * 2,5 mg ; vía oral ; comprimido","59","ESTRADIOL VALERATO * 1 MG + MEDROXIPROGESTERONA ACETATO * 2,5 MG ; VIA ORAL ; COMPRIMIDO","ESTRADIOL VALERATO 1 mg + MEDROXIPROGESTERONA ACETATO 2,5 mg comprimido"
"27","epinefrina (tartrato) * 1 mg/ml ; vía endotraqueopulmonar + vía parenteral ; solución inyectable","476","EPINEFRINA (TARTRATO) * 1 MG/ML ; VIA ENDOTRAQUEOPULMONAR + VIA PARENTERAL ; SOLUCION INYECTABLE","EPINEFRINA (tartrato) 1 mg/ml solución inyectable"
"28","raloxifeno clorhidrato * 60 mg ; vía oral ; comprimido","59","RALOXIFENO CLORHIDRATO * 60 MG ; VIA ORAL ; COMPRIMIDO","RALOXIFENO CLORHIDRATO 60 mg comprimido"
