"commonnamegroupid","moleculeid","pervolume","perVolumeUnit","type","unit_Id","dose_2","unit_Id_2","dose_VMP","dose_base","useful_dose","numerator_useful_dose","unit_Id_3","denominator_useful_dose","unit_Id_4"
"2","115",",10000","%","1","1","1","640","0.1 %","0","","","","",""
"2","3561",",02000","%","1","1","0,2","640","0.02 %","0","","","","",""
"3","130","250,00000","mg","1","57","","","250 mg","0","","","","",""
"4","561",",05000","%","1","1","0,5","640","0.05 %","0","","","","",""
"5","17829","40,00000","mg","1","57","","","40 mg","1","","","","",""
"6","206","50,00000","mg/ml","1","640","","","50 mg/ml","0","","","","",""
"7","2710","4,00000","mg","1","57","","","4 mg","0","","","","",""
"7","6495","1,25000","mg","1","57","","","1.25 mg","0","","","","",""
"8","7046","600,00000","mg","1","57","","","600 mg","0","","","","",""
"9","1476","75,00000","µg/h","1","118","","","75 µg/h","0","","","","",""
"10","2369","50,00000","mg","1","57","","","50 mg","0","","","","",""
"11","6321","120,00000","mg","1","57","","","","","","","","",""
"12","18357","10,00000","mg","1","57","","","10 mg","0","","","","",""
"13","2729","5,40000","%","1","1","54","640","5.4 %","0","","","","",""
"14","2377","100,00000","mg","1","57","","","100 mg","0","","","","",""
"15","2370",",50000","%","1","1","5","640","0.5 %","0","","","","",""
"16","22809","40,00000","mg/ml","1","640","","","40 mg/ml","0","","","","",""
"18","2713","5,00000","%","1","1","50","637","0,05","0","","","","",""
"19","3542",",30000","%","1","1","3","637","0.3 %","0","","","","",""
"21","21766","15,00000","mg","1","57","","","15 mg","0","","","","",""
"22","22843","500,00000","mg","1","57","","","500 mg","0","","","","",""
"23","428","50,00000","mg","1","57","","","50 mg","0","","","","",""
"23","2496","20,00000","mg","1","57","","","20 mg","0","","","","",""
"24","251","15,00000","mg","1","57","","","15 mg","0","","","","",""
"24","3332","25,00000","mg","1","57","","","25 mg","0","","","","",""
"25","3532","5,00000","mg/ml","1","640","","","5 mg/ml","1","","","","",""
"25","17746","50,00000","µg/ml","1","626","","","50 µg/ml","0","","","","",""
"26","1396","1,00000","mg","1","57","","","1 mg","0","","","","",""
"26","2252","2,50000","mg","1","57","","","2.5 mg","0","","","","",""
"27","4798","1,00000","mg/ml","1","640","","","1 mg/ml","1","","","","",""
"28","18336","60,00000","mg","1","57","","","60 mg","0","","","","",""
"29","15316","1,00000","%","1","1","10","640","0,01","0","","","","",""
"30","5882","850,00000","mg","1","57","","","850 mg","0","","","","",""
"31","145","500,00000","mg","1","57","","","500 mg","0","","","","",""
"32","20","320,00000","mg","1","57","","","320 mg","0","","","","",""
"33","3561","40,00000","mg/ml","1","640","","","40 mg/ml","0","","","","",""
"34","100","375,00000","mg","1","57","","","375 mg","0","","","","",""
"35","852","1,00000","g","1","35","","","1 g","1","","","","",""
"37","178","3,00000","mg/ml","1","640","","","3 mg/ml","0","6 mg/2 ml","6","57","2","60"
"38","1021","12,50000","mg/ml","1","640","","","12.5 mg/ml","0","25 mg/2 ml","25","57","2","60"
"39","1029","36,30000","µg/ml","1","626","","","36.3 µg/ml","1","72.6 µg/2 ml","72,6","5","2","60"
"39","2215","36,40000","µg/ml","1","626","","","36.4 µg/ml","1","72.8 µg/2 ml","72,8","5","2","60"
"40","19620","1,00000","%","1","1","10","637","0,01","0","","","","",""
"41","2417","30,00000","mg","1","57","","","30 mg","0","","","","",""
"42","2329","250,00000","mg","1","57","","","250 mg","0","","","","",""
"43","2364","20,00000","mg/ml","1","640","","","20 mg/ml","0","","","","",""
"44","3534","1,00000","%","1","1","10","637","0,01","0","","","","",""
"45","3481","200,00000","mg","1","57","","","200 mg","0","","","","",""
"46","18579","200,00000","mg","1","57","","","200 mg","0","","","","",""
"47","4404","500,00000","µg/dosis","1","624","","","500 µg/dose","0","","","","",""
"48","17323",",03000","%","1","1","0,3","640","0.03 %","0","","","","",""
"49","1341","1,00000","%","1","1","10","637","0,01","0","","","","",""
"49","3561",",10000","%","1","1","1","637","0.1 %","0","","","","",""
