"indicationid","commonnamegroupid"
"24","383"
"24","1067"
"24","2654"
"24","4394"
"24","5722"
"24","5785"
"24","5786"
"24","7874"
"24","8601"
"24","9525"
"24","10398"
"24","11517"
"104","133"
"164","417"
"164","481"
"164","767"
"164","929"
"164","1031"
"164","1218"
"164","1233"
"164","1237"
"164","1944"
"164","2426"
"164","2615"
"164","2743"
"164","3078"
"164","3339"
"164","3568"
"164","3712"
"164","3757"
"164","4645"
"164","4661"
"164","5189"
"164","5190"
"164","5362"
"164","5531"
"164","5546"
"164","5610"
"164","5838"
"164","5839"
"164","6122"
"164","6234"
"164","6368"
"164","6369"
"164","6370"
"164","6378"
"164","6853"
"164","7064"
"164","7065"
"164","7190"
"164","7191"
"164","7587"
"164","7756"
"164","8291"
"164","8536"
"164","8970"
"164","9290"
"164","9802"
"164","9852"
"164","9919"
"164","9921"
"164","9922"
"164","9987"
"164","10047"
"164","10378"
"164","10409"
"164","10535"
"164","12721"
"164","13073"
"164","13801"
"164","13828"
"164","13962"
"164","13992"
"164","14227"
"164","14776"
"164","14801"
"164","14879"
"164","14900"
"164","15603"
"164","15831"
"164","15832"
"164","15833"
"164","16404"
"164","16478"
"164","16643"
"164","17215"
"164","17258"
"164","17271"
"171","6881"
"174","2318"
"194","32"
"194","75"
"194","110"
"194","136"
"194","150"
"194","315"
"194","384"
"194","393"
"194","395"
"194","469"
"194","559"
"194","685"
"194","707"
"194","836"
"194","929"
"194","971"
"194","1024"
"194","1026"
"194","1027"
"194","1049"
"194","1050"
"194","1076"
"194","1083"
"194","1095"
"194","1318"
"194","1383"
"194","1415"
"194","1513"
"194","1547"
"194","1578"
"194","1784"
"194","1839"
"194","1859"
"194","1876"
"194","1960"
"194","2049"
"194","2087"
"194","2152"
"194","2165"
"194","2462"
"194","2505"
"194","2581"
"194","2593"
"194","2685"
"194","2742"
"194","2798"
"194","2910"
"194","2924"
"194","2962"
"194","2980"
"194","2987"
"194","3031"
"194","3082"
"194","3110"
"194","3160"
