"indicationid","name","name_noaccent"
"92004","Irritación ocular no infecciosa","IRRITACION OCULAR NO INFECCIOSA"
"92044","Enfermedad de Still en pacientes >=1 año, tratamiento asociado de segunda línea (de la)","ENFERMEDAD DE STILL EN PACIENTES >=1 AÑO, TRATAMIENTO ASOCIADO DE SEGUNDA LINEA (DE LA)"
"92054","Enfermedad de Still en pacientes >=1 año, tratamiento de segunda línea (de la)","ENFERMEDAD DE STILL EN PACIENTES >=1 AÑO, TRATAMIENTO DE SEGUNDA LINEA (DE LA)"
"92064","Infección por VIH en recién nacidos, tratamiento preventivo (de la)","INFECCION POR VIH EN RECIEN NACIDOS, TRATAMIENTO PREVENTIVO (DE LA)"
"92074","Infección por VIH en recién nacidos, tratamiento preventivo alternativo a la vía oral (de la)","INFECCION POR VIH EN RECIEN NACIDOS, TRATAMIENTO PREVENTIVO ALTERNATIVO A LA VIA ORAL (DE LA)"
"92084","Déficit secundario en carnitina","DEFICIT SECUNDARIO EN CARNITINA"
"92094","Encefalopatía hiperamoniémica inducida por un tratamiento con ácido valproico","ENCEFALOPATIA HIPERAMONIEMICA INDUCIDA POR UN TRATAMIENTO CON ACIDO VALPROICO"
"92104","Hepatotoxicidad inducida por un tratamiento con ácido valproico","HEPATOTOXICIDAD INDUCIDA POR UN TRATAMIENTO CON ACIDO VALPROICO"
"92114","Hepatotoxicidad inducida por un tratamiento con ácido valproico, tratamiento preventivo (de la)","HEPATOTOXICIDAD INDUCIDA POR UN TRATAMIENTO CON ACIDO VALPROICO, TRATAMIENTO PREVENTIVO (DE LA)"
"92124","Gripe pandémica en lactantes < 1 año, tratamiento preventivo postexposición (de la)","GRIPE PANDEMICA EN LACTANTES < 1 AÑO, TRATAMIENTO PREVENTIVO POSTEXPOSICION (DE LA)"
"92154","Inmunodeficiencia primitiva con insuficiencia de anticuerpos","INMUNODEFICIENCIA PRIMITIVA CON INSUFICIENCIA DE ANTICUERPOS"
"92164","Inmunodeficiencia secundaria en infecciones severas/recurrentes en fracaso con un tratamiento antibiótico","INMUNODEFICIENCIA SECUNDARIA EN INFECCIONES SEVERAS/RECURRENTES EN FRACASO CON UN TRATAMIENTO ANTIBIOTICO"
"92174","Deficiencia en vitamina A por malabsorción","DEFICIENCIA EN VITAMINA A POR MALABSORCION"
"92184","Deficiencia en vitamina A, tratamiento alternativo a la vía oral (de la)","DEFICIENCIA EN VITAMINA A, TRATAMIENTO ALTERNATIVO A LA VIA ORAL (DE LA)"
"92234","Taquiarritmia ventricular","TAQUIARRITMIA VENTRICULAR"
"92244","Úlcera gastroduodenal, tratamiento preventivo de las recidivas (de la)","ULCERA GASTRODUODENAL, TRATAMIENTO PREVENTIVO DE LAS RECIDIVAS (DE LA)"
"92254","Púrpura trombocitopénica inmune, tratamiento de segunda línea (de la)","PURPURA TROMBOCITOPENICA INMUNE, TRATAMIENTO DE SEGUNDA LINEA (DE LA)"
"92264","Convexidad moderada a grave asociada con un exceso de grasa submentoniana","CONVEXIDAD MODERADA A GRAVE ASOCIADA CON UN EXCESO DE GRASA SUBMENTONIANA"
"92274","Accidente tromboembólico en cirugía oncológica y ortopédica, tratamiento preventivo (del)","ACCIDENTE TROMBOEMBOLICO EN CIRUGIA ONCOLOGICA Y ORTOPEDICA, TRATAMIENTO PREVENTIVO (DEL)"
"92284","Accidente tromboembólico en caso de trombocitopenia inducida por heparina o de antecedentes de trombocitopenia inducida por heparina,  tratamiento preventivo (del)","ACCIDENTE TROMBOEMBOLICO EN CASO DE TROMBOCITOPENIA INDUCIDA POR HEPARINA O DE ANTECEDENTES DE TROMBOCITOPENIA INDUCIDA POR HEPARINA,  TRATAMIENTO PREVENTIVO (DEL)"
"92294","Accidente tromboembólico en caso de trombocitopenia inducida por heparina o de antecedentes de trombocitopenia inducida por heparina","ACCIDENTE TROMBOEMBOLICO EN CASO DE TROMBOCITOPENIA INDUCIDA POR HEPARINA O DE ANTECEDENTES DE TROMBOCITOPENIA INDUCIDA POR HEPARINA"
"92304","Infección broncopulmonar en el asma","INFECCION BRONCOPULMONAR EN EL ASMA"
"92324","Púrpura trombopénica inmunológica grave, tratamiento de segunda línea (del)","PURPURA TROMBOPENICA INMUNOLOGICA GRAVE, TRATAMIENTO DE SEGUNDA LINEA (DEL)"
"92354","Caries dental, tratamiento de segunda línea (de la)","CARIES DENTAL, TRATAMIENTO DE SEGUNDA LINEA (DE LA)"
