"indicationgroupid","indicationid"
"1","1721"
"1","5984"
"1","6034"
"1","6074"
"1","6694"
"1","8714"
"1","27644"
"1","34904"
"1","35204"
"1","41434"
"1","57364"
"1","58934"
"1","61664"
"1","67714"
"1","68714"
"1","69114"
"1","69364"
"1","71304"
"1","75924"
"1","78124"
"1","78144"
"1","78184"
"1","79124"
"1","80764"
"1","85974"
"1","88224"
"1","89114"
"1","91444"
"1","91454"
"2","904"
"2","924"
"2","5394"
"2","6914"
"2","7204"
"2","8714"
"2","27944"
"2","35184"
"2","41574"
"2","42414"
"2","42554"
"2","57694"
"2","60574"
"2","61304"
"2","62224"
"2","64214"
"2","64224"
"2","68714"
"2","68724"
"2","71664"
"2","78214"
"2","78224"
"2","83554"
"2","90914"
"3","6444"
"3","6464"
"3","35164"
"3","67004"
"3","70934"
"3","70944"
"3","72854"
"3","72864"
"3","73674"
"3","75134"
"3","80514"
"5","6494"
"5","6514"
"5","7624"
"5","7634"
"5","7984"
"5","9284"
"5","27674"
"5","35174"
"5","36044"
"5","36054"
"6","6414"
"6","43594"
"9","2414"
"9","39704"
"9","91794"
"11","7454"
"11","84144"
"12","904"
"12","1004"
"12","78224"
"12","83554"
"14","7184"
"14","35134"
"16","874"
"16","6874"
"16","6884"
"16","6914"
"16","6944"
"16","6984"
"16","7184"
"16","7481"
"16","7791"
"16","8804"
"16","18134"
"16","34964"
"16","35134"
"16","35794"
"16","35804"
"16","36144"
"16","61044"
"16","61304"
"16","62044"
"16","67234"
"16","67994"
"16","68374"
"16","68384"
"16","68774"
"16","71054"
"16","73114"
"16","79444"
"16","82894"
"16","84114"
"16","84854"
"16","85954"
"16","86084"
"16","86824"
"20","8004"
"20","9074"
"20","9164"
"20","26113"
"20","26734"
"20","26744"
"20","33134"
"20","35884"
"20","42554"
"20","58914"
"20","59854"
"20","69914"
"20","78284"
"20","78534"
"20","79744"
"20","81234"
"20","82314"
"20","84324"
"20","85494"
"21","2241"
"21","6644"
"21","6714"
"21","6724"
"21","7541"
"21","8994"
"21","17074"
"21","31021"
"21","43544"
"21","58634"
"21","60934"
"21","61974"
"21","62174"
"21","67164"
"21","67704"
"21","68764"
"21","69854"
"21","69864"
"21","74714"
"21","75424"
"21","76364"
"21","76404"
"21","78644"
"21","81474"
"21","84254"
"21","90374"
"21","91464"
"21","91474"
"29","3071"
"29","5444"
"29","7644"
"29","7664"
"29","18904"
"29","34974"
"29","36804"
"29","43064"
"29","43204"
"29","43574"
"29","60844"
"29","61494"
"29","61504"
"30","2414"
"30","11681"
"30","33614"
"30","38504"
"30","39704"
"30","58324"
"30","64094"
"30","79894"
"30","84684"
