"sideeffectid","name"
"23","Absceso en el punto de inyección"
"24","Acidosis metabólica"
"33","Absceso hepático"
"41","Confusión mental"
"61","Accidente cerebrovascular"
"83","Acantosis nigricans"
"93","Episodio hipomaniaco"
"103","Episodio maniaco"
"113","Accidente cardiovascular"
"151","Derrame cerebral"
"161","Hemorragia"
"163","Accidente vascular medular"
"173","Accidente vascular ocular"
"183","Habituación"
"191","Acidosis"
"194","Fiebre"
"203","Ácidos grasos libres (aumento)"
"233","Acidosis fetal"
"241","Acidosis renal hiperclorémica"
"243","Acidosis hiperclorémica"
"251","Acidosis respiratoria"
"261","Acné"
"263","Acidosis láctica"
"274","Alcalosis metabólica"
"281","Acné rosácea"
"313","Acné rosácea (empeoramiento)"
"323","Acné (empeoramiento)"
"333","Acúfeno"
"343","Acrocianosis"
"373","Agudeza auditiva (aumento)"
"393","Agudeza visual (disminución)"
"413","Adenoma hepático"
"421","Hepatopatía"
"423","Adenoma hipofisario secretor de prolactina"
"431","Hepatopatía grave"
"434","Anemia ferropénica"
"443","Adenopatía"
"444","Anemia hemolítica autoinmune"
"461","Cáncer"
"463","Adipsia"
"471","Enfermedad de la tiroides"
"483","Agranulocitosis"
"484","Afta"
"493","Agregación plaquetaria (aumento)"
"501","Alcalosis"
"503","Agregación plaquetaria (disminución)"
"523","Agueusia"
"533","Acatisia"
"543","Aquinesia"
"551","Alteración del estado general"
"561","Hiperprolactinemia"
"573","Alcalosis gaseosa"
"581","Anemia"
"583","Alcalosis hipoclorémica"
"593","Alcalosis hipocaliémica"
"611","Anemia hemolítica"
"613","Aldolasa (aumento)"
"623","Aldosteronemia (aumento)"
"653","Hipersensibilidad cruzada"
"673","Alopecia"
"683","Alteración del epitelio corneal"
"684","Paro cardíaco"
"693","Alteración del cabello"
"703","Alteración dental"
"713","Aluminemia (aumento)"
"723","Alveolitis fibrosante"
"733","Alveolitis pulmonar"
"743","Amaurosis"
"763","Amenorrea posterapéutica"
"783","Amnesia"
"793","Amnesia anterógrada"
"803","Amnesia retrógrada"
"813","Amilasemia (elevación)"
"823","Aneyaculación"
"873","Anemia hemolítica aguda"
"903","Anemia hipocrómica"
"913","Anemia macrocitaria"
"923","Anemia megaloblástica"
"933","Anemia sideroblástica"
"943","Anestesia"
"963","Anestesia cutánea"
"973","Anestesia de la lengua"
"983","Anestesia de la mucosa bucal"
"1004","Bloqueo auriculoventricular"
"1063","Angina de pecho (empeoramiento)"
"1073","Anhidrosis"
"1093","Anisocoria"
"1123","Anorexia"
"1133","Anorgasmia"
"1143","Anosmia"
"1173","Anticuerpos anti-insulina"
"1183","Anticuerpos anti-interferón"
"1203","Anticuerpos anticalcitonina de salmón"
"1211","Anuria"
"1233","Anticuerpos frente a dornasa alfa"
"1243","Anticuerpos antieritropoyetina"
"1253","Anticuerpos antifactor VIII"
"1261","Aterosclerosis"
"1263","Anticuerpos frente a la hormona del crecimiento"
"1283","Anticuerpos antimolgramostim"
"1291","Ascitis"
"1293","Anticuerpos antimurinos"
"1313","Anticuerpos antinucleares (aumento)"
"1323","Anticuerpos antiestreptoquinasa"
"1343","Anticuerpos anti-TSH"
"1353","Anticuerpos (producción)"
"1363","Antitrombina III (disminución)"
"1381","Retinopatía"
"1391","Graves-Basedow, enfermedad (de)"
"1393","Ansiedad paradójica"
"1413","Afasia"
"1423","Afonía"
"1453","Apnea"
"1463","Apnea del sueño"
"1471","Bradicardia"
"1473","Apendicitis"
"1483","Aprensión"
"1493","Aracnoiditis"
"1511","Enfermedad pulmonar obstructiva crónica"
"1513","Arreflexia osteotendinosa"
"1533","Argiria"
"1543","Argirismo"
"1561","Caquexia"
"1573","Pausa sinusal"
"1583","Arteritis"
"1613","Artritis"
"1614","Queloide"
"1621","Cáncer de ovario"
"1631","Cáncer de próstata"
"1633","Artritis microcristalina"
"1643","Artritis séptica"
"1653","Artropatía"
"1663","Artrosis"
"1671","Cáncer de endometrio"
"1674","Choque hipovolémico"
"1683","Arritmia fetal"
"1703","Arritmia (empeoramiento)"
"1711","Cardiopatía"
